school_section,cca_grouping_desc,cca_generic_name,cca_customized_name,school_id
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,49
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,49
SECONDARY,UNIFORMED GROUPS,RED CROSS YOUTH,na,49
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,49
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,49
SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,49
SECONDARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,na,49
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,49
SECONDARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ELDDS (DEBATE & ADVOCACY),49
SECONDARY,CLUBS AND SOCIETIES,"CHINESE LANGUAGE, DRAMA AND DEBATING",CHINESE CULTURAL SOCIETY,49
SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,ENVIRONMENTAL CLUB,49
PRIMARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,ADVENTURE CLUB,50
PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),SPORTS CLUB,50
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,50
PRIMARY,CLUBS AND SOCIETIES,DESIGN AND INNOVATION,FUTURE INNOVATORS' PROGRAMME,50
PRIMARY,CLUBS AND SOCIETIES,COMMUNITY SERVICE,KINDNESS CLUB,50
PRIMARY,PHYSICAL SPORTS,FOOTBALL,na,50
PRIMARY,PHYSICAL SPORTS,SOFTBALL,na,50
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,50
PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,50
PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na,50
PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,ANGKLUNG/KULINTANG ENSEMBLE,50
PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,BRASS BAND,50
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART AND CRAFTS,50
PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING","ENGLISH LANGUAGE, DRAMA & DEBATING",50
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,ROBOTICS,50
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),50
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,51
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE INSTRUMENTAL ENSEMBLE,na,51
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,51
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,51
SECONDARY,PHYSICAL SPORTS,NETBALL,na,51
SECONDARY,PHYSICAL SPORTS,SEPAKTAKRAW,na,51
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,51
SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,THE BOYS' BRIGADE,51
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,51
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (AIR),NCC(AIR),51
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,51
SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,51
SECONDARY,CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na,51
PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na,52
PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),MULTI-SPORTS,52
PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE,52
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,52
PRIMARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL,52
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,TRACK AND FIELD,52
PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU,52
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR,52
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,52
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,53
PRIMARY,PHYSICAL SPORTS,NETBALL,na,53
PRIMARY,PHYSICAL SPORTS,SAILING,na,53
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,53
PRIMARY,PHYSICAL SPORTS,BOWLING,na,53
PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,GYMNASTICS,53
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,53
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,53
PRIMARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,HANDBELL ENSEMBLE,53
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,53
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),INNOVATION CLUB,53
PRIMARY,CLUBS AND SOCIETIES,HOME ECONOMICS,HOME CRAFTS,53
PRIMARY,PHYSICAL SPORTS,NETBALL,NETBALL SCHOOL TEAM,54
PRIMARY,PHYSICAL SPORTS,SWIMMING,SWIMMING RECREATIONAL TEAM,54
PRIMARY,PHYSICAL SPORTS,TENNIS,TENNIS SCHOOL TEAM,54
PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,RHYTHMIC GYMNASTICS RECREATIONAL TEAM,54
PRIMARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,RHYTHMIC GYMNASTICS SCHOOL TEAM,54
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES,54
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,54
PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,na,54
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,54
PRIMARY,VISUAL AND PERFORMING ARTS,CERAMICS,POTTERY CLUB,54
PRIMARY,CLUBS AND SOCIETIES,HOME ECONOMICS,SEWING CLUB,54
SECONDARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),KC SPORTS DEVELOPMENT CLUB,55
SECONDARY,CLUBS AND SOCIETIES,HERITAGE,INFANT JESUS YOUTH MISSION (IJYM),55
SECONDARY,CLUBS AND SOCIETIES,MODULAR CCA (C&S),CABIN CLUB,55
SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON,55
SECONDARY,PHYSICAL SPORTS,CANOEING,CANOEING,55
SECONDARY,PHYSICAL SPORTS,NETBALL,na,55
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,55
SECONDARY,PHYSICAL SPORTS,FLOORBALL,na,55
SECONDARY,PHYSICAL SPORTS,BOWLING,na,55
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,55
SECONDARY,CLUBS AND SOCIETIES,ENTREPRENEURSHIP,ENTREPRENEUR CLUB,55
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),MEDIA COMMUNICATIONS CLUB,55
SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,NCDCC,55
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,55
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,55
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE,55
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DRAMA,CHINESE DRAMA,55
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMATIC ARTS SOCIETY,55
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,55
SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,DEBATE CLUB,55
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,56
PRIMARY,PHYSICAL SPORTS,BOWLING,na,56
PRIMARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,na,56
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,56
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,56
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,56
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,56
PRIMARY,PHYSICAL SPORTS,NETBALL,NETBALL,57
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,TABLE TENNIS,57
PRIMARY,PHYSICAL SPORTS,FLOORBALL,FLOORBALL,57
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES,57
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR,57
PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,BRASS BAND,57
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE INC,57
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,CREATIVE SQUAD,57
PRIMARY,PHYSICAL SPORTS,BOWLING,BOWLING,57
PRIMARY,PHYSICAL SPORTS,NETBALL,na,58
PRIMARY,PHYSICAL SPORTS,SOFTBALL,na,58
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,58
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,58
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,58
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,FUSION DANCE,58
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,EL DRAMA CLUB,58
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,58
PRIMARY,CLUBS AND SOCIETIES,PHYSICAL SCIENCE,ENVIRONMENTAL SCIENCE CLUB,58
PRIMARY,PHYSICAL SPORTS,FENCING,na,59
PRIMARY,PHYSICAL SPORTS,NETBALL,na,59
PRIMARY,PHYSICAL SPORTS,SWIMMING,na,59
PRIMARY,PHYSICAL SPORTS,TENNIS,na,59
PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,GYMNASTICS,59
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES,59
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,59
PRIMARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,HANDBELLS ENSEMBLE,59
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,59
PRIMARY,VISUAL AND PERFORMING ARTS,DIGITAL MEDIA,MEDIA & PHOTOGRAPHY,59
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,60
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,60
SECONDARY,PHYSICAL SPORTS,NETBALL,na,60
SECONDARY,PHYSICAL SPORTS,SQUASH,na,60
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,60
SECONDARY,PHYSICAL SPORTS,TENNIS,na,60
SECONDARY,PHYSICAL SPORTS,BOWLING,na,60
SECONDARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,GYMNASTICS (RHYTHMIC),60
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,60
SECONDARY,UNIFORMED GROUPS,RED CROSS YOUTH,na,60
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (SEA),na,60
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,60
SECONDARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE,60
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,IJ DANCE ENSEMBLE,60
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,IJ THEATRE,60
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND,60
SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,DEBATING AND ORATORY SOCIETY,60
SECONDARY,CLUBS AND SOCIETIES,CHINESE CULTURE AND LANGUAGE,CHINESE CULTURAL SOCIETY,60
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,AUTOMATION AND ROBOTICS CLUB,60
SECONDARY,PHYSICAL SPORTS,SHOOTING,SHOOTING,61
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,61
SECONDARY,PHYSICAL SPORTS,FENCING,na,61
SECONDARY,PHYSICAL SPORTS,NETBALL,na,61
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,61
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na,61
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,61
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,61
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,na,61
SECONDARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,na,61
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,61
SECONDARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na,61
SECONDARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,na,61
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,61
SECONDARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na,61
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,61
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,62
SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON,62
PRIMARY,PHYSICAL SPORTS,NETBALL,na,62
SECONDARY,PHYSICAL SPORTS,NETBALL,NETBALL,62
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,62
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,TRACK AND FIELD,62
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na,62
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,TABLE TENNIS,62
PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,na,62
SECONDARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,ARTISTIC GYMNASTICS,62
PRIMARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,na,62
SECONDARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,RHYTHMIC GYMNASTICS,62
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,62
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,62
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR,62
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,62
SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,62
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE DANCE,62
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,DANCE SOCIETY,62
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA,62
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,LITERARY DRAMA SOCIETY,62
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ARTS AND CRAFT,62
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,62
PRIMARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,MEDIA CLUB,62
SECONDARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,na,62
PRIMARY,CLUBS AND SOCIETIES,CHINESE CULTURE AND LANGUAGE,CHINESE LANGUAGE & CULTURAL CLUB,62
SECONDARY,CLUBS AND SOCIETIES,CHINESE CULTURE AND LANGUAGE,CHINESE CULTURAL SOCIETY,62
PRIMARY,CLUBS AND SOCIETIES,MEDIA RESOURCE LIBRARY,LIBRARY,62
SECONDARY,CLUBS AND SOCIETIES,MEDIA RESOURCE LIBRARY,LIBRARY SOCIETY,62
PRIMARY,CLUBS AND SOCIETIES,INNOVATORS' CLUB,MAKERS CLUB,62
SECONDARY,CLUBS AND SOCIETIES,INNOVATORS' CLUB,na,62
SECONDARY,PHYSICAL SPORTS,HOCKEY,na,63
SECONDARY,PHYSICAL SPORTS,NETBALL,na,63
SECONDARY,PHYSICAL SPORTS,SOFTBALL,na,63
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,63
SECONDARY,PHYSICAL SPORTS,TENNIS,na,63
SECONDARY,PHYSICAL SPORTS,FLOORBALL,na,63
SECONDARY,PHYSICAL SPORTS,BOWLING,na,63
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,63
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,63
SECONDARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,na,63
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,63
SECONDARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na,63
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,63
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,63
SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,na,63
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,63
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,63
SECONDARY,CLUBS AND SOCIETIES,COMMUNITY SERVICE,IJ YOUTH MISSION,63
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,ATHLETICS,64
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na,64
PRIMARY,PHYSICAL SPORTS,WUSHU,na,64
PRIMARY,PHYSICAL SPORTS,FLOORBALL,na,64
PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,RED CROSS,64
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,64
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,64
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,64
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG,64
PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,64
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,64
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),ICT CLUB,64
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,64
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN CONTEMPORARY DANCE,64
PRIMARY,VISUAL AND PERFORMING ARTS,SPEECH AND DRAMA,CHINESE CLUB,64
PRIMARY,CLUBS AND SOCIETIES,ENGLISH CULTURE AND LANGUAGE,ENGLISH CLUB,64
PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na,64
PRIMARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,FUN AND FITNESS,64
PRIMARY,VISUAL AND PERFORMING ARTS,PERCUSSION ENSEMBLE,FESTIVE DRUMS,64
PRIMARY,PHYSICAL SPORTS,HOCKEY,na,65
PRIMARY,PHYSICAL SPORTS,RUGBY,na,65
PRIMARY,PHYSICAL SPORTS,WUSHU,na,65
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,65
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,65
PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,na,65
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,65
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,65
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na,65
PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na,65
PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,65
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,65
PRIMARY,VISUAL AND PERFORMING ARTS,DIGITAL MEDIA,na,65
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,65
PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),na,65
PRIMARY,VISUAL AND PERFORMING ARTS,SPEECH AND DRAMA,na,65
SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON,66
SECONDARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL,66
SECONDARY,PHYSICAL SPORTS,NETBALL,NETBALL,66
SECONDARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,66
SECONDARY,PHYSICAL SPORTS,WUSHU,WUSHU,66
SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,BOYS' BRIGADE,66
SECONDARY,UNIFORMED GROUPS,GIRLS' BRIGADE,GIRLS' BRIGADE,66
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,NATIONAL POLICE CADET CORPS,66
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),NATIONAL CADET CORPS (LAND),66
SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,NATIONAL CIVIL DEFENCE CADET CORPS,66
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA,66
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR,66
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE,66
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA,66
SECONDARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,OUTDOOR ADVENTURE CLUB,66
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND,66
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM CLUB,66
SECONDARY,CLUBS AND SOCIETIES,COMMUNITY SERVICE,COMMUNITY SERVICE CLUB,66
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,67
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,67
PRIMARY,PHYSICAL SPORTS,FOOTBALL,na,67
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,67
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,67
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na,67
PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na,67
PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,67
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,67
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,67
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,67
PRIMARY,PHYSICAL SPORTS,FLOORBALL,na,67
PRIMARY,VISUAL AND PERFORMING ARTS,PERCUSSION ENSEMBLE,na,67
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,67
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,68
SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,68
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,68
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,68
SECONDARY,PHYSICAL SPORTS,NETBALL,na,68
SECONDARY,PHYSICAL SPORTS,SEPAKTAKRAW,na,68
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,68
SECONDARY,PHYSICAL SPORTS,SWIMMING,na,68
SECONDARY,PHYSICAL SPORTS,WUSHU,na,68
SECONDARY,PHYSICAL SPORTS,FLOORBALL,na,68
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,68
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,68
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,ST. JOHN BRIGADE,68
SECONDARY,UNIFORMED GROUPS,SCOUTS,na,68
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (SEA),na,68
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,68
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,68
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE,68
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,68
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,68
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na,68
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,68
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE CALLIGRAPHY AND BRUSH PAINTING,na,69
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,69
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,69
SECONDARY,PHYSICAL SPORTS,NETBALL,na,69
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,69
SECONDARY,PHYSICAL SPORTS,WUSHU,na,69
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na,69
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,69
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,69
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,na,69
SECONDARY,UNIFORMED GROUPS,SCOUTS,na,69
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,69
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DRAMA,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,LION AND DRAGON DANCE,na,69
SECONDARY,CLUBS AND SOCIETIES,CHINESE CHESS,na,69
SECONDARY,VISUAL AND PERFORMING ARTS,DIGITAL MEDIA,na,69
SECONDARY,CLUBS AND SOCIETIES,JOURNALISM,JOURNALISM & LIBRARY CLUB,70
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DRUMS,FESTIVAL DRUMS,70
SECONDARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL (BOYS-COMPETITIVE & RECREATION),70
SECONDARY,PHYSICAL SPORTS,FENCING,na,70
SECONDARY,PHYSICAL SPORTS,WUSHU,na,70
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,VOLLEYBALL (BOYS & GIRLS),70
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,70
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,ST JOHN BRIGADE,70
SECONDARY,UNIFORMED GROUPS,SCOUTS,PEREGRINE SCOUTS GROUP,70
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (AIR),NCC (AIR),70
